     ,x,y,z,Rx,Ry,Rz
bolt1(side),-301.9331451665715,-784.9359411026494,190.36112966706753,-,-,-
bolt2,-294.8264192290513,-755.7641169130161,189.70763448724313,0.09006,0.00875,0.99197
bolt3,-252.32307233167373,-753.7493941626502,186.54824591560333,0.09006,0.00875,0.99197
bolt4,-308.8287477408069,-718.4515772419061,190.35035783199132,0.09006,0.00875,0.99197
bolt5,-249.86804253803365,-706.9704125081955,185.32723454765565,0.09006,0.00875,0.99197
     ,x,y,z,Rx,Ry,Rz
bolt1(side),-301.88049380010574,-784.8371546618965,190.33545716440764,-,-,-
bolt2,-294.74106579196837,-755.6861405075338,189.70867575571188,0.09033,0.00853,0.99195
bolt3,-252.4580910207325,-753.8788965405028,186.48073023073,0.09033,0.00853,0.99195
bolt4,-308.8659608106274,-718.4405680559288,190.4145443612011,0.09033,0.00853,0.99195
bolt5,-249.87284872538635,-706.9283402048575,185.335168159143,0.09033,0.00853,0.99195
